City_Code,Province_Code,Country_Code,City_Name,Province_Name,Country_Name
PUNCH,JK,IN,Punch,Jammu and Kashmir,India
KLRAI,TN,IN,Keelakarai,Tamil Nadu,India
TIRAP,AR,IN,Tirap,Arunachal Pradesh,India
ZMANI,UP,IN,Zamania,Uttar Pradesh,India
ZAIDR,UP,IN,Zaidpur,Uttar Pradesh,India
PORAG,IN,US,Portage,Indiana,United States
SCEVI,IN,US,Schererville,Indiana,United States
SBEND,IN,US,South Bend,Indiana,United States
VLPRS,IN,US,Valparaiso,Indiana,United States
WLAET,IN,US,West Lafayette,Indiana,United States
WEFIL,IN,US,Westfield,Indiana,United States
ABIGT,MA,US,Abington,Massachusetts,United States
ACTON,MA,US,Acton,Massachusetts,United States
